date,lstm_predict,trueValue,dqn_action
13/02/2018,3132.060401,3176.11,Sell
14/02/2018,3171.520858,3188.25,Buy
22/02/2018,3177.593374,3237.57,Sell
23/02/2018,3258.094745,3275.43,Buy
26/02/2018,3277.604524,3307.29,Sell
27/02/2018,3321.340893,3328.67,Buy
28/02/2018,3287.983514,3264.06,Sell
01/03/2018,3255.759248,3235.09,Buy
02/03/2018,3271.938302,3248.45,Sell
05/03/2018,3252.159445,3255.87,Buy
06/03/2018,3249.224218,3266.49,Sell
07/03/2018,3281.426189,3288.86,Buy
08/03/2018,3266.032392,3268.35,Sell
09/03/2018,3283.150423,3291.43,Buy
12/03/2018,3302.567142,3319.21,Sell
13/03/2018,3323.309525,3324.12,Buy
14/03/2018,3312.392766,3298.67,Sell
15/03/2018,3292.639561,3277.51,Buy
16/03/2018,3286.757061,3290.21,Sell
19/03/2018,3271.280764,3264.93,Buy
20/03/2018,3275.671182,3257.22,Sell
21/03/2018,3283.830791,3299.73,Buy
22/03/2018,3280.147532,3281.26,Sell
23/03/2018,3256.721506,3172.77,Buy
26/03/2018,3135.875786,3117.32,Sell
27/03/2018,3116.757155,3164.8,Buy
28/03/2018,3160.838554,3130.57,Sell
29/03/2018,3110.425276,3127.26,Buy
30/03/2018,3153.309856,3161.79,Sell
02/04/2018,3154.391294,3169.78,Buy
03/04/2018,3149.383896,3130.01,Sell
04/04/2018,3123.614424,3147.05,Buy
09/04/2018,3123.18239,3125.44,Sell
10/04/2018,3129.183065,3144.26,Buy
11/04/2018,3183.786254,3197.37,Sell
12/04/2018,3208.763856,3203.28,Buy
13/04/2018,3175.345831,3192.04,Sell
16/04/2018,3153.950674,3152.89,Buy
17/04/2018,3105.186501,3112.97,Sell
18/04/2018,3067.628212,3091.91,Buy
19/04/2018,3089.756733,3094.27,Sell
20/04/2018,3121.080017,3105.46,Buy
23/04/2018,3072.250234,3063.44,Sell
24/04/2018,3070.208808,3069.75,Buy
25/04/2018,3133.169285,3112.4,Sell
26/04/2018,3116.148219,3119.5,Buy
