02/01/2018,2683.72998,2695.889893,2682.360107,2695.810059,3367250000
03/01/2018,2697.850098,2714.370117,2697.77002,2713.060059,3538660000
04/01/2018,2719.310059,2729.290039,2719.070068,2723.98999,3695260000
05/01/2018,2731.330078,2743.449951,2727.919922,2743.149902,3236620000
08/01/2018,2742.669922,2748.51001,2737.600098,2747.709961,3242650000
09/01/2018,2751.149902,2759.139893,2747.860107,2751.290039,3453480000
10/01/2018,2745.550049,2750.800049,2736.060059,2748.22998,3576350000
11/01/2018,2752.969971,2767.560059,2752.780029,2767.560059,3641320000
12/01/2018,2770.179932,2787.850098,2769.639893,2786.23999,3573970000
16/01/2018,2798.959961,2807.540039,2768.639893,2776.419922,4325970000
17/01/2018,2784.98999,2807.040039,2778.379883,2802.560059,3778050000
18/01/2018,2802.399902,2805.830078,2792.560059,2798.030029,3681470000
19/01/2018,2802.600098,2810.330078,2798.080078,2810.300049,3639430000
22/01/2018,2809.159912,2833.030029,2808.120117,2832.969971,3471780000
23/01/2018,2835.050049,2842.23999,2830.590088,2839.129883,3519650000
24/01/2018,2845.419922,2852.969971,2824.810059,2837.540039,4014070000
25/01/2018,2846.23999,2848.560059,2830.939941,2839.25,3835150000
26/01/2018,2847.47998,2872.870117,2846.179932,2872.870117,3443230000
29/01/2018,2867.22998,2870.620117,2851.47998,2853.530029,3573830000
30/01/2018,2832.73999,2837.75,2818.27002,2822.429932,3990650000
31/01/2018,2832.409912,2839.26001,2813.040039,2823.810059,4261280000
01/02/2018,2816.449951,2835.959961,2812.699951,2821.97998,3938450000
02/02/2018,2808.919922,2808.919922,2759.969971,2762.129883,4301130000
05/02/2018,2741.060059,2763.389893,2638.169922,2648.939941,5283460000
06/02/2018,2614.780029,2701.040039,2593.070068,2695.139893,5891660000
07/02/2018,2690.949951,2727.669922,2681.330078,2681.659912,4626570000
08/02/2018,2685.01001,2685.27002,2580.560059,2581,5305440000
09/02/2018,2601.780029,2638.669922,2532.689941,2619.550049,5680070000
12/02/2018,2636.75,2672.610107,2622.449951,2656,4055790000
13/02/2018,2646.27002,2668.840088,2637.080078,2662.939941,3472870000
14/02/2018,2651.209961,2702.100098,2648.870117,2698.629883,4003740000
15/02/2018,2713.459961,2731.51001,2689.820068,2731.199951,3684910000
16/02/2018,2727.139893,2754.419922,2725.110107,2732.219971,3637460000
20/02/2018,2722.98999,2737.600098,2706.76001,2716.26001,3627610000
21/02/2018,2720.530029,2747.75,2701.290039,2701.330078,3779400000
22/02/2018,2710.419922,2731.26001,2697.77002,2703.959961,3701270000
23/02/2018,2715.800049,2747.76001,2713.73999,2747.300049,3189190000
26/02/2018,2757.370117,2780.639893,2753.780029,2779.600098,3424650000
27/02/2018,2780.449951,2789.149902,2744.219971,2744.280029,3745080000
28/02/2018,2753.780029,2761.52002,2713.540039,2713.830078,4230660000
01/03/2018,2715.219971,2730.889893,2659.649902,2677.669922,4503970000
02/03/2018,2658.889893,2696.25,2647.320068,2691.25,3882450000
05/03/2018,2681.060059,2728.090088,2675.75,2720.939941,3710810000
06/03/2018,2730.179932,2732.080078,2711.26001,2728.120117,3370690000
07/03/2018,2710.179932,2730.600098,2701.73999,2726.800049,3393270000
08/03/2018,2732.75,2740.449951,2722.649902,2738.969971,3212320000
09/03/2018,2752.909912,2786.570068,2751.540039,2786.570068,3364100000
12/03/2018,2790.540039,2796.97998,2779.26001,2783.02002,3185020000
13/03/2018,2792.310059,2801.899902,2758.679932,2765.310059,3301650000
14/03/2018,2774.060059,2777.110107,2744.379883,2749.47998,3391360000
15/03/2018,2754.27002,2763.030029,2741.469971,2747.330078,3500330000
16/03/2018,2750.570068,2761.850098,2749.969971,2752.01001,5372340000
19/03/2018,2741.379883,2741.379883,2694.590088,2712.919922,3282130000
20/03/2018,2715.050049,2724.219971,2710.050049,2716.939941,3261030000
21/03/2018,2714.98999,2739.139893,2709.790039,2711.929932,3415510000
22/03/2018,2691.360107,2695.679932,2641.590088,2643.689941,3739800000
23/03/2018,2646.709961,2657.669922,2585.889893,2588.26001,3815080000
26/03/2018,2619.350098,2661.360107,2601.810059,2658.550049,3511100000
27/03/2018,2667.570068,2674.780029,2596.120117,2612.620117,3706350000
28/03/2018,2611.300049,2632.649902,2593.060059,2605,3864500000
